,b,k1,hits@10,hits@5,hits@3,hits@1
0,0.0,0.0,0.8315217391304348,0.7228260869565217,0.6086956521739131,0.41847826086956524
1,0.0,0.1,0.8858695652173914,0.8260869565217391,0.7391304347826086,0.5217391304347826
2,0.0,0.2,0.8913043478260869,0.8315217391304348,0.75,0.5434782608695652
3,0.0,0.30000000000000004,0.8967391304347826,0.8260869565217391,0.7554347826086957,0.5489130434782609
4,0.0,0.4,0.907608695652174,0.8260869565217391,0.7608695652173914,0.5489130434782609
5,0.0,0.5,0.9184782608695652,0.8260869565217391,0.7663043478260869,0.5489130434782609
6,0.0,0.6000000000000001,0.9184782608695652,0.8315217391304348,0.7717391304347826,0.5652173913043478
7,0.0,0.7000000000000001,0.9239130434782609,0.8260869565217391,0.7771739130434783,0.5652173913043478
8,0.0,0.8,0.9293478260869565,0.8315217391304348,0.7771739130434783,0.5706521739130435
9,0.0,0.9,0.9293478260869565,0.8315217391304348,0.782608695652174,0.5652173913043478
10,0.0,1.0,0.9293478260869565,0.8369565217391305,0.782608695652174,0.5652173913043478
11,0.0,1.1,0.9293478260869565,0.842391304347826,0.7880434782608695,0.5652173913043478
12,0.0,1.2000000000000002,0.9347826086956522,0.8478260869565217,0.7934782608695652,0.5597826086956522
13,0.0,1.3,0.9347826086956522,0.8478260869565217,0.7934782608695652,0.5760869565217391
14,0.0,1.4000000000000001,0.9347826086956522,0.8478260869565217,0.7934782608695652,0.5706521739130435
15,0.0,1.5,0.9293478260869565,0.8532608695652174,0.8043478260869565,0.5706521739130435
16,0.0,1.6,0.9293478260869565,0.8586956521739131,0.8043478260869565,0.5760869565217391
17,0.0,1.7000000000000002,0.9347826086956522,0.8641304347826086,0.8043478260869565,0.5760869565217391
18,0.0,1.8,0.9347826086956522,0.8641304347826086,0.8097826086956522,0.5706521739130435
19,0.0,1.9000000000000001,0.9347826086956522,0.8695652173913043,0.8097826086956522,0.5760869565217391
20,0.0,2.0,0.9347826086956522,0.8695652173913043,0.8043478260869565,0.5760869565217391
