,fields,query_type,hits@10,hits@5,hits@3,hits@1
0,['text'],cross_fields,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
1,['text'],most_fields,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
2,['text'],best_fields,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
3,['text_lemma'],cross_fields,0.9130434782608695,0.8641304347826086,0.782608695652174,0.592391304347826
4,['text_lemma'],most_fields,0.9130434782608695,0.8641304347826086,0.782608695652174,0.592391304347826
5,['text_lemma'],best_fields,0.9130434782608695,0.8641304347826086,0.782608695652174,0.592391304347826
6,['ne'],cross_fields,0.16304347826086957,0.13043478260869565,0.11956521739130435,0.06521739130434782
7,['ne'],most_fields,0.16304347826086957,0.13043478260869565,0.11956521739130435,0.06521739130434782
8,['ne'],best_fields,0.16304347826086957,0.13043478260869565,0.11956521739130435,0.06521739130434782
9,['title'],cross_fields,0.08152173913043478,0.03260869565217391,0.021739130434782608,0.016304347826086956
10,['title'],most_fields,0.08152173913043478,0.03260869565217391,0.021739130434782608,0.016304347826086956
11,['title'],best_fields,0.08152173913043478,0.03260869565217391,0.021739130434782608,0.016304347826086956
12,['keywords'],cross_fields,0.8043478260869565,0.7065217391304348,0.6413043478260869,0.43478260869565216
13,['keywords'],most_fields,0.8043478260869565,0.7065217391304348,0.6413043478260869,0.43478260869565216
14,['keywords'],best_fields,0.8043478260869565,0.7065217391304348,0.6413043478260869,0.43478260869565216
15,"['text', 'title']",cross_fields,0.9402173913043478,0.8641304347826086,0.7989130434782609,0.6141304347826086
16,"['text', 'title']",most_fields,0.9293478260869565,0.8586956521739131,0.7989130434782609,0.6086956521739131
17,"['text', 'title']",best_fields,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
18,"['text', 'title', 'keywords', 'text_lemma', 'ne']",cross_fields,0.9239130434782609,0.8695652173913043,0.7934782608695652,0.5869565217391305
19,"['text', 'title', 'keywords', 'text_lemma', 'ne']",most_fields,0.9130434782608695,0.8586956521739131,0.7717391304347826,0.5217391304347826
20,"['text', 'title', 'keywords', 'text_lemma', 'ne']",best_fields,0.9347826086956522,0.8586956521739131,0.7934782608695652,0.5760869565217391
