,query type,fields,hits@10,hits@5,hits@3,hits@1
30,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.25', 'ne^1.0')",0.9239130434782609,0.842391304347826,0.7989130434782609,0.5706521739130435
31,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.25', 'ne^1.25')",0.9239130434782609,0.8532608695652174,0.7989130434782609,0.5543478260869565
32,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.25', 'ne^1.5')",0.9184782608695652,0.8478260869565217,0.782608695652174,0.5543478260869565
33,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.25', 'ne^1.75')",0.9184782608695652,0.8369565217391305,0.7717391304347826,0.532608695652174
34,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.25', 'ne^2.0')",0.9184782608695652,0.8369565217391305,0.75,0.5108695652173914
35,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.0')",0.907608695652174,0.8315217391304348,0.7771739130434783,0.5380434782608695
36,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.25')",0.9130434782608695,0.8369565217391305,0.7717391304347826,0.5271739130434783
37,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.5')",0.907608695652174,0.8369565217391305,0.7771739130434783,0.532608695652174
38,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.75')",0.9021739130434783,0.8315217391304348,0.7663043478260869,0.5054347826086957
39,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.5', 'ne^2.0')",0.9021739130434783,0.8369565217391305,0.7554347826086957,0.4891304347826087
40,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.8913043478260869,0.8260869565217391,0.7608695652173914,0.4945652173913043
41,best_fields,"('title^1.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.8913043478260869,0.8260869565217391,0.7554347826086957,0.4945652173913043
